"","ma","sh","stability","S","CA","CS","CB","N"
"1",0,14.2,"seagrass",1065.41,0.92,8.66,14224.13,0
"2",4.02684563758389e-05,14.2,"seagrass",1034.51,0.92,8.65,14204.74,0
"3",8.05369127516779e-05,14.2,"seagrass",1005.3,0.91,8.64,14185.37,0.01
"4",0.000120805369127517,14.2,"seagrass",977.63,0.91,8.63,14166.01,0.01
"5",0.000161073825503356,14.2,"seagrass",951.4,0.91,8.62,14146.65,0.01
"6",0.000201342281879195,14.2,"seagrass",926.48,0.91,8.61,14127.3,0.01
"7",0.000241610738255034,14.2,"seagrass",902.78,0.91,8.6,14107.95,0.01
"8",0.000281879194630873,14.2,"seagrass",880.21,0.91,8.59,14088.61,0.01
"9",0.000322147651006711,14.2,"seagrass",858.71,0.9,8.58,14069.27,0.01
"10",0.00036241610738255,14.2,"seagrass",838.18,0.9,8.57,14049.94,0.01
"11",0.000402684563758389,14.2,"seagrass",818.57,0.9,8.56,14030.61,0.01
"12",0.000442953020134228,14.2,"seagrass",799.81,0.9,8.55,14011.27,0.01
"13",0.000483221476510067,14.2,"seagrass",781.86,0.9,8.54,13991.94,0.01
"14",0.000523489932885906,14.2,"seagrass",764.66,0.9,8.53,13972.61,0.01
"15",0.000563758389261745,14.2,"seagrass",748.16,0.9,8.52,13953.27,0.01
"16",0.000604026845637584,14.2,"seagrass",732.33,0.89,8.51,13933.93,0.01
"17",0.000644295302013423,14.2,"seagrass",717.11,0.89,8.5,13914.59,0.01
"18",0.000684563758389262,14.2,"seagrass",702.49,0.89,8.5,13895.24,0.01
"19",0.000724832214765101,14.2,"seagrass",688.42,0.89,8.49,13875.88,0.01
"20",0.00076510067114094,14.2,"seagrass",674.87,0.89,8.48,13856.51,0.01
"21",0.000805369127516779,14.2,"seagrass",661.81,0.89,8.47,13837.14,0.01
"22",0.000845637583892618,14.2,"seagrass",649.22,0.89,8.46,13817.75,0.01
"23",0.000885906040268456,14.2,"seagrass",637.07,0.88,8.45,13798.34,0.01
"24",0.000926174496644295,14.2,"seagrass",625.34,0.88,8.44,13778.93,0.01
"25",0.000966442953020134,14.2,"seagrass",614.01,0.88,8.43,13759.49,0.01
"26",0.00100671140939597,14.2,"seagrass",603.06,0.88,8.42,13740.03,0.01
"27",0.00104697986577181,14.2,"seagrass",592.47,0.88,8.41,13720.56,0.01
"28",0.00108724832214765,14.2,"seagrass",582.21,0.88,8.4,13701.06,0.01
"29",0.00112751677852349,14.2,"seagrass",572.29,0.88,8.39,13681.54,0.01
"30",0.00116778523489933,14.2,"seagrass",562.67,0.87,8.38,13661.98,0.01
"31",0.00120805369127517,14.2,"seagrass",553.34,0.87,8.37,13642.4,0.01
"32",0.00124832214765101,14.2,"seagrass",544.3,0.87,8.36,13622.79,0.01
"33",0.00128859060402685,14.2,"seagrass",535.53,0.87,8.35,13603.14,0.01
"34",0.00132885906040268,14.2,"seagrass",527.01,0.87,8.34,13583.46,0.01
"35",0.00136912751677852,14.2,"seagrass",518.74,0.87,8.33,13563.73,0.01
"36",0.00140939597315436,14.2,"seagrass",510.71,0.87,8.32,13543.96,0.01
"37",0.0014496644295302,14.2,"seagrass",502.9,0.86,8.31,13524.15,0.01
"38",0.00148993288590604,14.2,"seagrass",495.3,0.86,8.3,13504.28,0.01
"39",0.00153020134228188,14.2,"seagrass",487.91,0.86,8.29,13484.36,0.02
"40",0.00157046979865772,14.2,"seagrass",480.72,0.86,8.28,13464.38,0.02
"41",0.00161073825503356,14.2,"seagrass",473.72,0.86,8.27,13444.35,0.02
"42",0.0016510067114094,14.2,"seagrass",466.9,0.86,8.26,13424.24,0.02
"43",0.00169127516778524,14.2,"bistable",460.25,0.86,8.25,13404.07,0.02
"44",0.00173154362416107,14.2,"bistable",453.77,0.85,8.24,13383.82,0.02
"45",0.00177181208053691,14.2,"bistable",447.45,0.85,8.23,13363.49,0.02
"46",0.00181208053691275,14.2,"bistable",441.29,0.85,8.22,13343.08,0.02
"47",0.00185234899328859,14.2,"bistable",435.28,0.85,8.21,13322.58,0.02
"48",0.00189261744966443,14.2,"bistable",429.41,0.85,8.2,13301.98,0.02
"49",0.00193288590604027,14.2,"bistable",423.68,0.85,8.19,13281.28,0.02
"50",0.00197315436241611,14.2,"bistable",418.08,0.85,8.18,13260.47,0.02
"51",0.00201342281879195,14.2,"bistable",412.6,0.85,8.17,13239.54,0.02
"52",0.00205369127516779,14.2,"bistable",407.25,0.84,8.15,13218.49,0.02
"53",0.00209395973154362,14.2,"bistable",402.02,0.84,8.14,13197.3,0.02
